school,actual_adm_2025_26,raw_kids_5_9,raw_kids_0_4,naive_kept_after_opt_out,naive_enrollment,mae_fit_final,rmse_fit_final,mae_residual,rmse_residual
Carrboro Elementary,462,322.7647584311612,271.00816385288863,351.9528106589633,351.9528106589633,461.99999960730423,470.71797640132036,-3.926957674593723e-07,8.717976401320357
Ephesus Elementary,343,398.6747726746874,454.9300976976668,434.72746982569237,434.72746982569237,381.73878841746034,399.1226024580587,38.73878841746034,56.12260245805868
Estes Hills Elementary,324,281.29771217523387,284.3382912443628,306.735843507912,306.735843507912,248.87238750743325,264.47407733109344,-75.12761249256675,-59.52592266890656
FPG Elementary,499,0.0,0.0,0.0,0.0,499.00000143064483,508.5769508231935,1.4306448292700225e-06,9.5769508231935
Glenwood Elementary,394,34.1278041171674,65.85873183584428,37.214027451566956,37.214027451566956,393.9999970535365,400.96319768723964,-2.9464634963005665e-06,6.963197687239642
McDougle Elementary,469,552.3100334973166,567.0132886289994,602.2561744019689,602.2561744019689,471.2414763205271,493.6800938305596,2.241476320527113,24.6800938305596
Morris Grove Elementary,371,503.29893135187353,347.09976351845154,548.8129322170845,548.8129322170845,342.8030616973305,325.9142691402585,-28.19693830266948,-45.08573085974149
Northside Elementary,335,862.4071548956376,503.13943216680894,940.3957965338257,940.3957965338257,502.5313983822755,446.5666394883605,167.53139838227548,111.56663948836052
Rashkis Elementary,367,405.3074860608479,320.39602960381615,441.95998842500046,441.95998842500046,312.2329092103184,291.4875211298995,-54.76709078968162,-75.5124788701005
Scroggs Elementary,366,365.04280670839114,359.51928777177267,398.054119837425,398.054119837425,315.579981179628,320.27258654842296,-50.42001882037198,-45.727413451577036
Seawell Elementary,364,212.65973097909912,110.10778105579239,231.89083714056113,231.89083714056113,363.9999991935414,372.22408516159305,-8.064586154432618e-07,8.224085161593052
