name,license_number,address,city,state,zip_code,phone,star_rating,capacity,facility_type,source_zip
AFTON NATURE SCHOOL,68000573,"109 HILLCREST AVENUE, CARRBORO, NC 27510",CARRBORO,NC,27510,(919) 636-2836,,,Center,27510
CARRBORO EARLY SCHOOL,68000264,"310 LLOYD STREET, CARRBORO, NC 27510",CARRBORO,NC,27510,(919) 929-9998,,,Center,27510
CARRBORO ELEMENTARY PRE-K/HEAD START,68000435,"400 SHELTON ST, CARRBORO, NC 27510",CARRBORO,NC,27510,(919) 918-2153,,,Center,27510
CARRBORO SCHOOL AGE CARE PROGRAM,6855134,"400 SHELTON ST, CARRBORO, NC 27510",CARRBORO,NC,27510,(919) 968-3652,,,Center,27510
COMMUNITY SCHOOL FOR PEOPLE UNDER 6,68000476,"102 HARGRAVES STREET, CARRBORO, NC 27510",CARRBORO,NC,27510,(919) 929-1543,,,Center,27510
HAPPY DAY NURSERY AND DAY CARE,6855122,"107 LAUREL AVENUE, CARRBORO, NC 27510",CARRBORO,NC,27510,(919) 967-2016,,,Center,27510
MONTESSORI ACADEMY OF CARRBORO,68000520,"103 LAUREL AVE, CARRBORO, NC 27510",CARRBORO,NC,27510,(919) 869-7368,,,Center,27510
UNC HORIZONS CHILD DEVELOPMENT CENTER,68000530,"410 N GREENSBORO ST SUITE 130, CARRBORO, NC 27510",CARRBORO,NC,27510,(919) 445-6127,,,Center,27510
CAROLINA CREATIVE PLAYSCHOOL,68000524,"8800 SEAWELL SCHOOL RD, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(919) 391-4406,,,Center,27514
CHAPEL HILL KINDERCARE,6855067,"210 SOUTH ELLIOTT ROAD, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(919) 942-7223,,,Center,27514
CHILD CARE MATTERS INC,68000517,"825 N ESTES DR, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(919) 929-8190,,,Center,27514
CHILDREN'S CAMPUS OF CHAPEL HILL,68000531,"100 WESTMINSTER DR, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(919) 240-5254,,,Center,27514
CHILDREN'S CAMPUS OF CHAPEL HILL,68000283,"110 KINGSTON DR, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(919) 967-5020,,,Center,27514
EPHESUS ELEMENTARY PRE-K/HEAD START,68000337,"1495 EPHESUS CHURCH RD, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(919) 918-2153,,,Center,27514
ESTES CHILDREN'S COTTAGE,68000393,"200 NORTH ESTES DRIVE, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(919) 942-8485,,,Center,27514
ESTES HILLS PREK,68000492,"500 N ESTES DR, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(919) 918-2153,,,Center,27514
ESTES HILLS SCHOOL-AGE CARE PROGRAM,6855099,"500 ESTES DRIVE, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(919) 967-8211,,,Center,27514
GLENWOOD EL SCHOOL-AGE CARE PROGRAM,6855100,"2 PRESTWICK ROAD, CHAPEL HILL, NC 27514",CHAPEL HILL,NC,27514,(919) 967-8211,,,Center,27514
HARVEST LEARNING CENTER,32001435,,,NC,27514,(919) 402-1900,,,Center,27514
KEHILLAH JEWISH PRESCHOOL,68000502,,,NC,27514,(919) 942-0233,,,Center,27514
MARY SCROGGS ELEMENTARY PRE-K/HEAD START,68000434,,,NC,27514,(919) 918-2153,,,Center,27514
NEW HOPE ELEMENTARY,68000373,,,NC,27514,(919) 942-9696,,,Center,27514
New Hope Elementary YMCA After School,68000591,,,NC,27514,(984) 309-8457,,,Center,27514
NORTH CHATHAM PRE-KINDERGARTEN,19000251,,,NC,27514,(919) 967-3094,,,Center,27514
SMALL PEOPLE CHILD CARE CENTER,68000277,,,NC,27514,(336) 639-6483,,,Center,27514
THE GODDARD SCHOOL,68000553,,,NC,27514,(919) 933-9022,,,Center,27514
WEAVER DAIRY COMMUNITY PRESCHOOL,68000177,,,NC,27514,(919) 932-1300,,,Center,27514
BLOSSOMS DAY CARE,68000564,"110 N ELLIOT RD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 933-1014,,,Center,27516
CHAPEL HILL DAY CARE CENTER,68000135,"401 KILDAIRE ROAD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 929-3585,,,Center,27516
EPHESUS SCHOOL-AGE CARE PROGRAM,6855080,"1495 EPHESUS CHURCH ROAD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 929-8715,,,Center,27516
FRANK PORTER GRAHAM ELEMENTARY PRE-K,68000417,"101 SMITH LEVEL ROAD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 918-2153,,,Center,27516
FRANK PORTER GRAHAM SCHOOL-AGE CARE PROGRAM,6855079,"101 SMITH LEVEL ROAD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 967-8211,,,Center,27516
HOLMES CHILD CARE,68000329,"216 N ROBERSON ST, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 942-5495,,,Center,27516
KINDERCARE LEARNING CENTER,19000374,"27 KNOX WAY, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 967-1346,,,Center,27516
LEGACY ACADEMY FOR CHILDREN,68000485,"515 E WINMORE AVE, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 929-7060,,,Center,27516
MCDOUGLE ELEMENTARY PREK/HEAD START,68000381,"800 OLD FAYETTEVILLE ROAD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 918-2153,,,Center,27516
MCDOUGLE SCHOOL AGE CARE PROGRAM,68000150,"890 OLD FAYETTEVILLE ROAD, CHAPEL HILL, NC 27516",CHAPEL HILL,NC,27516,(919) 969-2435,,,Center,27516
MI ESCUELITA SPANISH IMMERSION PRESCHOOL,68000562,,,NC,27516,(919) 969-7949,,,Center,27516
Morris Grove Elementary Pre-K,68000597,,,NC,27516,(919) 918-4800,,,Center,27516
MORRIS GROVE SCHOOL-AGE CARE PROGRAM,68000433,,,NC,27516,(919) 918-4800,,,Center,27516
NORTHSIDE ELEMENTARY PREK,68000504,,,NC,27516,(919) 918-2153,,,Center,27516
NORTHSIDE SCHOOL-AGE CARE PROGRAM,68000503,,,NC,27516,(919) 918-2220,,,Center,27516
ORANGE CHATHAM EARLY SCHOOL,68000395,,,NC,27516,(919) 928-9145,,,Center,27516
Primrose School of Chapel Hill at Briar Chapel,19000410,,,NC,27516,(919) 441-0441,,,Center,27516
SCROGGS SCHOOL AGE CARE PROGRAM,68000236,,,NC,27516,(919) 967-8211,,,Center,27516
SEAWELL PRESCHOOL,6855139,,,NC,27516,(919) 918-2153,,,Center,27516
SEAWELL SCHOOL-AGE CARE PROGRAM,6855138,,,NC,27516,(919) 967-4343,,,Center,27516
SPANISH FOR FUN ACADEMY,68000299,,,NC,27516,(919) 969-9055,,,Center,27516
"CASA CLUB SPANISH IMMERSION PRESCHOOL, INC.",19000333,"41130 MORING DRIVE, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,(919) 929-6019,,,Center,27517
CHAPEL HILL COOPERATIVE PRESCHOOL,68000559,"108 MT CARMEL CHURCH RD, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,(919) 942-3955,,,Center,27517
LITTLE GENIUS LLC,68000574,"114 SOUTH GRAHAM STREET, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,(984) 999-4545,,,Center,27517
RASHKIS ELEMENTARY PRE-K/HEAD START,68000338,"601MEADOWMONT LN, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,(919) 918-2153,,,Center,27517
RASHKIS SCHOOL AGE CARE PROGRAM,68000341,"601 MEADOWMONT LANE, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,(919) 918-7165,,,Center,27517
SEEDS OF WONDER,19000403,"10329 US HWY 15-501 N, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,(919) 631-9615,,,Center,27517
THE LEARNING EXPERIENCE,32002063,"501 E BARBEE CHAPEL ROAD, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,(919) 442-0515,,,Center,27517
THE UNIVERSITY CHILD CARE CENTER,68000580,"130 FRIDAY CENTER DRIVE, CHAPEL HILL, NC 27517",CHAPEL HILL,NC,27517,(919) 445-9400,,,Center,27517
